system:index,district,group,nighttime_lights,year,.geo
6_5,Fuzuli,treated,0.511412127095393,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_6,Jabrayil,treated,0.35069074961147007,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_7,Gubadli,treated,0.31506927742681806,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_8,Zangilan,treated,0.33829137973224715,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_9,Jalilabad,comparison,0.6525929053286644,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_10,Barda,comparison,0.9702885477940422,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_11,Aghjabadi,comparison,0.7017838531321737,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_12,Beylagan,comparison,0.6324065215932798,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_13,Goranboy,comparison,0.5330847821726089,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_14,Tartar,comparison,0.5405393099560443,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_15,Dashkasan,comparison,0.382488264821297,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_16,Gadabay,comparison,0.43570995268524143,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_17,Tovuz,comparison,0.4559812558927479,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_18,Gazakh,comparison,0.6612881701502752,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,Shusha,treated,6.22814189388805,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_1,Kalbajar,treated,0.38042795756325887,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_2,Aghdam,treated,0.5827283044433295,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_3,Lachin,treated,0.3769916709708673,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_4,Khojavand,treated,0.4054644674281743,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_5,Fuzuli,treated,0.5813809120978487,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_6,Jabrayil,treated,0.4466547257710532,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_7,Gubadli,treated,0.4086655339095373,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_8,Zangilan,treated,0.4208559609471389,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_9,Jalilabad,comparison,0.6968549432673231,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_10,Barda,comparison,0.9619690606908488,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_11,Aghjabadi,comparison,0.7073119592804392,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_12,Beylagan,comparison,0.6651726079769454,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_13,Goranboy,comparison,0.579983371408804,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_14,Tartar,comparison,0.620791043908977,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_15,Dashkasan,comparison,0.43156123188131473,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_16,Gadabay,comparison,0.4862729177707184,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_17,Tovuz,comparison,0.5144659281742187,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_18,Gazakh,comparison,0.7381740008705107,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,Shusha,treated,10.954852767206033,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1,Kalbajar,treated,0.38303557618138895,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2,Aghdam,treated,0.5931078157083104,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_3,Lachin,treated,0.38849915060946427,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_4,Khojavand,treated,0.4182303021878681,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_5,Fuzuli,treated,0.641942451043944,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_6,Jabrayil,treated,0.4825138224805893,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_7,Gubadli,treated,0.4004303756693155,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_8,Zangilan,treated,0.5281713316589546,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_9,Jalilabad,comparison,0.6957497013416029,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_10,Barda,comparison,0.9774936858225158,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_11,Aghjabadi,comparison,0.6969286170997484,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_12,Beylagan,comparison,0.6525661511346684,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_13,Goranboy,comparison,0.5710375242123604,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_14,Tartar,comparison,0.6133508131843352,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_15,Dashkasan,comparison,0.42671503884209044,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_16,Gadabay,comparison,0.4673251359098367,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_17,Tovuz,comparison,0.5076257506542542,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_18,Gazakh,comparison,0.72637457361527,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,Shusha,treated,15.523788649807265,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_1,Kalbajar,treated,0.4589424064804571,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2,Aghdam,treated,0.69719123901349,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3,Lachin,treated,0.5718922128386008,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4,Khojavand,treated,0.490634418101839,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_5,Fuzuli,treated,0.7209509651023845,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_6,Jabrayil,treated,0.5731696936597885,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
